"","Individuo","Bloque","Trat","df.tallo.12","df.alt.12","df.cob.12","df.tallo.13","df.alt.13","df.cob.13","df.tallo.23","df.alt.23","df.cob.23"
"32",253,"B2",6,0,1,439.037573339174,3.4,3.5,841.161432998667,3.4,2.5,402.123859659494
"33",254,"B2",6,0,1.3,632.589133231432,0,2,1421.17797666768,0,0.7,788.58884343625
"34",255,"B2",6,1.2,1,835.859995395734,1.8,5,1550.57232408741,0.6,4,714.712328691678
"35",256,"B2",6,0,0.7,482.430821866883,1.1,3.7,1264.14743137341,1.9,3,781.716609506523
"36",257,"B2",1,2.2,0,308.857827756047,1.1,3.5,1309.4550879244,0,4.3,1000.59726016835
"37",257,"B2",1,2.2,0,308.857827756047,2.2,4.5,1731.01755212798,0,4.3,1000.59726016835
"38",257,"B2",6,3.3,0.2,730.420291959627,1.1,3.5,1309.4550879244,0,4.3,1000.59726016835
"39",257,"B2",6,3.3,0.2,730.420291959627,2.2,4.5,1731.01755212798,0,4.3,1000.59726016835
"40",258,"B2",6,1.3,0,609.665324337269,1.1,3.5,1210.29856979547,0,4,600.633245458199
"41",259,"B2",6,0,2.2,375.223972563131,0,4.7,1946.02029935803,0.4,2.5,1570.7963267949
"42",260,"B2",6,0,0.5,0,0,1.5,449.24774946334,0,1,552.331258409255
"43",261,"B2",6,0.4,0,70.6858347057704,0,0,89.3390410864598,0,0.3,18.6532063806894
"44",262,"B2",6,0,0,427.060251347362,0.399999999999999,2.7,1005.89869777128,0.699999999999999,3,578.838446423919
"45",263,"B2",6,0.100000000000001,1.7,673.282575572463,0.300000000000001,4.5,1757.13204106094,0.199999999999999,2.8,1083.84946548848
"46",264,"B2",3,0,1.5,530.143760293278,2.5,3.5,1343.81625757303,2.7,2,813.672497279756
"47",265,"B2",3,0.100000000000001,1.5,259.181393921158,2.8,2,1263.50929536564,2.7,0.5,1004.32790144449
"48",267,"B2",3,0.5,1,163.362817986669,2.5,0.8,351.858377202057,2,0,188.495559215388
"49",268,"B2",3,1.8,0,417.242774304894,3.2,3,1208.72777346867,1.4,3,791.484999163778
"50",270,"B2",3,1.4,0.2,231.643370817035,3.4,2.2,1015.66708742854,2,2,784.023716611503
"51",271,"B2",3,1.5,0,463.384916404494,2.2,1.5,1376.01758227233,0.700000000000001,1.5,912.632665867835
"52",271,"B2",3,1.5,0,463.384916404494,0,0,235.423099478385,0.700000000000001,1.5,912.632665867835
"53",271,"B2",3,1.5,0,463.384916404494,2.2,1.5,1376.01758227233,0,0,0
"54",271,"B2",3,1.5,0,463.384916404494,0,0,235.423099478385,0,0,0
"55",272,"B2",3,4.1,0.5,314.159265358979,3.9,2.5,1396.09432282418,0,2,1081.9350574652
"56",273,"B2",3,1.3,0,377.972866135022,3.6,2.3,1155.5170478985,2.3,2.5,777.544181763474
"57",275,"B2",3,2.3,0.3,705.140288575272,1.7,0.8,1054.00433527938,0,0.5,348.864046704104
"58",278,"B2",3,0,0.8,131.50510498386,1.2,2.8,1089.73995171396,1.7,2,958.234846730099
"59",280,"B2",7,0.5,0.5,0,0.299999999999999,3.5,1341.26371354199,0,3,1602.01590378995
"60",281,"B2",7,0,1.8,879.645943005142,0,5.8,2069.52416055228,0,4,1189.87821754713
"61",282,"B2",7,0,0,196.545890390212,1.1,1,510.705155749191,1.1,1.5,314.159265358979
"62",283,"B2",7,0.5,0,431.183591705199,0,1.5,789.325154214435,0,1.5,358.141562509236
"63",284,"B2",7,1.5,0,800.124378961151,1.7,2.8,483.805268652828,0.200000000000001,5.5,0
"64",285,"B2",7,1.2,1.7,1268.41803388688,0,5.2,1350.88484104361,0,3.5,82.4668071567321
"65",286,"B2",7,1.4,0,503.636572278614,0.700000000000001,5,1037.70732338888,0,6,534.070751110265
"66",287,"B2",7,0.5,1.7,808.371059676824,2,2.7,1312.59668057799,1.5,1,504.225620901162
"67",288,"B2",7,0,0.8,846.659220142449,0,3.8,1223.65033857322,1.1,3,376.991118430775
"68",289,"B2",7,0,0.7,507.170864013902,0,2.2,1572.36712312169,0,1.5,1065.19625910779
"69",290,"B2",7,1.2,1.1,788.097969584127,0.799999999999999,4.1,1079.67703774543,0,3,291.579068161303
"70",291,"B2",7,0.3,0.5,0,2.2,3.5,431.968989868597,1.9,3,461.8141200777
"71",292,"B2",7,0.700000000000001,0,0,0,7.8,312.784818573034,0,8,564.112230860217
"72",293,"B2",7,0,0.8,310.232274541992,0,0.8,376.991118430775,0.5,0,66.7588438887831
"73",295,"B2",7,0,0,293.542563569796,0,1.5,668.61927397729,0.7,2,375.076710407494
"74",296,"B2",7,0,0.6,0,0.5,2.3,628.318530717959,0.5,1.7,811.119953248715
"75",297,"B2",7,0,1.2,432.950737572843,0,6.7,735.132680940011,0,5.5,302.181943367168
"76",298,"B2",7,0,0.5,250.492926738574,0,1,529.309274744668,0,0.5,278.816348006094
"77",299,"B2",7,1.2,1,718.050270886117,0.5,4.5,1688.80240084536,0,3.5,970.752129959246
"78",299,"B2",7,1.2,1,718.050270886117,0.5,4.5,1688.80240084536,1.5,4,1340.0856162969
"79",299,"B2",7,0,0.5,348.716784548467,0.5,4.5,1688.80240084536,0,3.5,970.752129959246
"80",299,"B2",7,0,0.5,348.716784548467,0.5,4.5,1688.80240084536,1.5,4,1340.0856162969
"81",300,"B2",2,2.1,1.2,862.367183410398,2.6,3.5,2012.77914324681,0.5,2.3,1150.41195983641
"82",301,"B2",2,0,1.7,1055.57513160617,1,5.2,1484.40252882118,1,3.5,428.827397215007
"83",302,"B2",2,0,2.5,1062.98732677323,0.0999999999999996,6.5,1814.02432052204,0.4,4,751.03699374881
"84",304,"B2",2,0.9,0,934.623814442963,1.2,5,1606.92464231118,0.300000000000001,5,672.300827868216
"85",305,"B2",2,0.0999999999999996,3,518.559137383165,1.1,5.7,1499.32509392573,1,2.7,980.765956542564
"86",307,"B2",2,1,0.4,298.45130209103,0.7,3.2,808.174710135974,0,2.8,509.723408044944
"87",308,"B2",2,0,0.8,622.624394033327,0,2.3,656.592864600267,0,1.5,33.9684705669397
"88",309,"B2",2,1.1,2.2,286.670329640069,2.2,5.2,1643.83835599086,1.1,3,1357.16802635079
"89",310,"B2",2,1.5,2.5,238.761041672824,1.3,4.8,608.094528010474,0,2.3,369.33348633765
"90",311,"B2",2,0.5,0.5,160.221225333079,0.200000000000001,4,1677.61047701695,0,3.5,1517.38925168387
"91",312,"B2",2,0.700000000000001,1.7,325.940237809941,0,3.7,1402.13207120529,0,2,1076.19183339535
"92",313,"B2",2,0,0.5,523.27152636355,0,2.7,193.404297736622,0,2.2,0
"93",314,"B2",2,0,0,848.819065091792,0,2.2,1652.28138624738,0,3,803.46232115559
"94",315,"B2",2,0,1.5,0,0,4.5,54.781521896972,0.600000000000001,3,54.781521896972
"95",316,"B2",2,0,0.8,647.953484802895,0,7.3,893.979459487146,0,6.5,246.025974684251
"96",317,"B2",2,0.200000000000001,1,822.900925699676,1.3,6,2208.34328593277,1.1,5,1385.4423602331
"97",318,"B2",2,1.1,0,0,0,6.3,2014.54628911445,0,7,2215.6082189442
"98",319,"B2",2,0,3.7,1752.22330253971,0,7.5,1300.61935858617,0,3.8,0
"99",320,"B2",2,2.4,2.3,1512.67686270349,1.4,5,2076.396394482,0,2.7,563.719531778519
"100",321,"B2",2,0.300000000000001,0,540.942985039992,2.3,3.7,1068.14150222053,2,4,527.198517180537
"101",322,"B2",4,0.5,0,160.810273955628,1,0,481.252724621786,0.5,0,320.442450666159
"102",323,"B2",4,0.7,0.5,171.413149161493,0.7,2.5,527.787565803085,0,2,356.374416641592
"103",324,"B2",4,1.8,2.5,926.57348326814,1,4.5,1825.26533173567,0,2,898.69184846753
"104",325,"B2",4,0.6,1.7,535.788809592697,0.300000000000001,5.2,1825.21624435046,0,3.5,1289.42743475776
"105",326,"B2",4,2,0,0,1.8,0,558.418094175586,0,1.5,665.232244397639
"106",327,"B2",4,1.5,1.8,346.507852213912,1.4,1.8,687.370655128404,0,0,340.862802914492
"107",328,"B2",4,0,0.8,343.808046027233,0,3.3,1262.9202467431,0.699999999999999,2.5,919.112200715864
"108",329,"B2",4,0,0.4,1328.30464384593,0.9,0.7,2313.19394074633,1,0.3,984.8892969004
"109",330,"B2",4,6.3,1.5,651.63503869382,3.8,4.5,788.294319124976,0,3,136.659280431156
"110",331,"B2",4,1,1.5,565.486677646163,0,5,980.176907920016,0,3.5,414.690230273853
"111",332,"B2",4,0.199999999999999,2,854.513201776424,2,4,1942.09330854104,1.8,2,1087.58010676462
"112",333,"B2",4,0,4,950.920826333461,1.1,7,1661.902513749,1.8,3,710.98168741554
"113",334,"B2",4,0.299999999999999,1,430.594543082651,0,0,459.457925587507,0,0,28.8633825048562
"114",335,"B2",4,1.1,0.8,395.840674352314,1.4,3.8,690.954034248905,0.299999999999999,3,295.113359896591
"115",336,"B2",4,1.8,1,663.857797611693,2.2,2.5,1457.10994264312,0.4,1.5,793.252145031423
"116",337,"B2",4,0.800000000000001,0.3,351.858377202057,1.4,3.8,1958.78301951324,0.6,3.5,1606.92464231118
"117",338,"B2",4,0,1.2,518.362787842316,0,2.7,683.29640215578,0,1.5,164.933614313464
"118",340,"B2",4,2,0.7,794.773853973005,1.7,3.7,1462.55864240169,0,3,667.78478842868
"119",341,"B2",4,1.8,1,203.22177477909,1.3,4.5,1146.68131856027,0,3.5,943.459543781185
"120",342,"B2",4,2.2,0,263.893782901543,2.6,0.6,735.132680940012,0.399999999999999,2,471.238898038469
"121",343,"B2",4,0.699999999999999,0,1105.84061406361,0,3,2997.27574106551,0,3,1891.4351270019
"122",344,"B2",4,1.5,1.5,274.300308566559,0.2,4.5,627.729482095411,0,3,353.429173528852
"123",345,"B2",5,2.9,0.7,389.557489045134,2.9,1.5,417.242774304894,0,0.8,27.68528525976
"124",346,"B2",5,1.2,0,471.238898038469,0.5,1.8,288.437475507713,0,1.8,0
"125",347,"B2",5,0.5,0.3,385.826847768997,0,1.3,965.450692356313,0,1,579.623844587317
"126",348,"B2",5,2.8,1.8,508.938009881547,2.4,3.3,1639.91136517387,0,1.5,1130.97335529233
"127",349,"B2",5,0.5,1,301.59289474462,0.0999999999999996,0,790.306901918682,0,0,488.714007174062
"128",350,"B2",5,1.3,1.7,893.979459487146,2.7,5,1278.8245595519,1.4,3.3,384.84510006475
"129",351,"B2",5,0.6,1.5,627.729482095411,0,5.5,1545.66358556618,0,4,917.934103470768
"130",352,"B2",5,0.6,0.5,886.51817693487,0.199999999999999,2,1228.16637801276,0,1.5,341.64820107789
"131",353,"B2",5,3.8,2,1078.94072696724,0.5,5,1821.14199137783,0,3,742.201264410589
"132",354,"B2",5,0.800000000000001,1.2,847.444618305847,0.4,4.7,1328.10829430508,0,3.5,480.663675999238
"133",355,"B2",5,1.2,1,1089.54360217311,1.4,2,1172.79580749324,0.199999999999999,1,83.2522053201296
"134",356,"B2",5,0,0.8,613.395965613407,0,4,1335.96227593906,0,3.2,722.566310325652
"135",357,"B2",5,1.8,0,118.791472213864,0.699999999999999,1.5,118.791472213864,0,1.5,0
"136",358,"B2",5,1.5,3,431.379941246048,2.2,5.5,1873.37096924376,0.699999999999999,2.5,1441.99102799772
"137",359,"B2",5,1.1,0,678.584013175395,0.699999999999999,1.7,1889.86433067511,0,2,1211.28031749971
"138",360,"B2",5,1,2,1055.57513160617,1.6,6.5,3277.46653585755,0.6,4.5,2221.89140425138
"139",361,"B2",5,0,1.5,122.718463030851,0,4.5,1457.89534080651,0,3,1335.17687777566
"140",362,"B2",5,0,0,497.353386971434,0,3,842.928578866311,0,3,345.575191894877
"141",363,"B2",5,0.9,0.8,124.878307980194,1.4,2.3,613.592315154257,0.5,1.5,488.714007174062
"142",364,"B2",5,1.9,1.8,1171.0286616256,3.2,4.5,2336.55953610741,1.3,2.7,1165.53087448181
"143",366,"B2",5,3.6,1.3,414.052094266092,0.2,2.8,1442.7273387759,0,1,691.150383789754
"144",366,"B2",5,3.6,1.3,414.052094266092,0.6,2.3,1105.20247805585,0,1,691.150383789754
"145",366,"B2",5,3.6,1.3,414.052094266092,0.2,2.8,1442.7273387759,0,1.5,1028.67524450981
"146",366,"B2",5,3.6,1.3,414.052094266092,0.6,2.3,1105.20247805585,0,1.5,1028.67524450981
"147",367,"B2",5,0.800000000000001,1.2,857.654794430013,1.6,3,2166.32448419101,0.799999999999999,1.8,1308.669689761
"148",368,"B2",5,2.3,0.5,349.698532252714,1.4,3,1979.20337176157,0,2.5,1629.50483950886
"149",369,"B3",7,0.4,3.5,1854.91411240392,2.3,5,3312.80945321044,1.9,1.5,1457.89534080651
"150",370,"B3",7,1.1,0.5,695.077374606742,0,9,1255.40987680561,0,8,586.692428057894
"151",370,"B3",7,1.1,0.5,695.077374606742,0,8.5,1281.76980266464,0,8,586.692428057894
"152",370,"B3",7,0.699999999999999,1,668.717448747715,0,9,1255.40987680561,0,8,586.692428057894
"153",370,"B3",7,0.699999999999999,1,668.717448747715,0,8.5,1281.76980266464,0,8,586.692428057894
"154",371,"B3",7,2.8,1.2,789.325154214435,1.3,3.2,2020.82947442163,0,2,1231.5043202072
"155",372,"B3",7,0,1.5,1298.26316409598,0,2.8,1434.13704636374,0,0,0
"156",372,"B3",7,0,1.5,1298.26316409598,0,1.5,1256.83341097677,0,0,0
"157",372,"B3",7,0.300000000000001,2.8,1475.56679948296,0,2.8,1434.13704636374,0,0,0
"158",372,"B3",7,0.300000000000001,2.8,1475.56679948296,0,1.5,1256.83341097677,0,0,0
"159",373,"B3",7,0,4,1617.92021659874,0,7.5,2890.26524130261,0.299999999999999,3.5,1272.34502470387
"160",374,"B3",7,0.699999999999999,2.7,431.379941246048,0,4.5,729.831243337079,0,1.8,298.45130209103
"161",375,"B3",7,1.4,2.8,487.535909928966,0,5.5,1561.96059745668,0,2.7,1074.42468752771
"162",376,"B3",7,0.0999999999999996,1.5,1065.19625910779,0.5,1,2351.67845075281,0.4,0,1286.48219164502
"163",378,"B3",7,1.3,3.3,1121.74492687241,0,2,1585.1298432769,0,0,463.384916404495
"164",380,"B3",7,1.4,3.6,1510.51701775414,0.0999999999999996,5.8,2115.27360357018,0,2.2,604.756585816035
"165",381,"B3",7,1.3,2,871.742873985955,1.3,3,943.214106855123,0,1,71.4712328691678
"166",383,"B3",7,0,2,51.8362787842316,1.9,3.5,25.7217898512664,2,1.5,0
"167",384,"B3",3,0,1,494.800842940392,1.5,3.5,2003.35436528604,1.8,2.5,1508.55352234565
"168",385,"B3",3,0,0,882.591186117883,2.4,3.5,1325.55575027404,2.5,3.5,442.964564156161
"169",386,"B3",3,1.5,0,535.052498814512,1.9,0.7,728.849495632832,0.4,1.3,193.79699681832
"170",387,"B3",3,0.6,0,518.215525686679,5.3,4.5,2120.57504117311,4.7,4.5,1602.35951548643
"171",387,"B3",3,0.6,0,518.215525686679,1,0,895.942954895639,4.7,4.5,1602.35951548643
"172",387,"B3",3,0.6,0,518.215525686679,5.3,4.5,2120.57504117311,0.4,0,377.72742920896
"173",387,"B3",3,0.6,0,518.215525686679,1,0,895.942954895639,0.4,0,377.72742920896
"174",388,"B3",3,0,0.5,831.540305497048,0,3.5,1600.44510746315,0.3,3,768.904801966102
"175",389,"B3",3,0,0.5,226.783719681013,2.7,1.7,204.203522483337,3.6,1.2,0
"176",390,"B3",3,1.4,1.7,536.377858215245,0,6.2,853.875065768663,0,4.5,317.497207553419
"177",391,"B3",3,0.4,0.5,94.2477796076938,0.4,1.5,398.196868842506,0,1,303.949089234813
"178",392,"B3",3,1,1.8,652.862223324129,2.1,2.8,1274.89756873491,1.1,1,622.035345410779
"179",393,"B3",3,1.8,2,753.98223686155,1.7,4.5,2796.01746169492,0,2.5,2042.03522483337
"180",394,"B3",3,0.4,0.2,391.471897068416,1.6,1,631.214686445487,1.2,0.8,239.742789377071
"181",396,"B3",3,0,1.7,61.408318900638,0,2.2,499.464144535565,0,0.5,438.055825634927
"182",397,"B3",3,1.6,1,60.6229207372405,0.3,2,280.534406488526,0,1,219.911485751286
"183",398,"B3",3,0.5,1.7,189.526394304847,1.1,0.7,769.690200129499,0.6,0,580.163805824653
"184",399,"B3",5,0,4,973.157411834651,0.4,7,2514.25587057608,0.4,3,1541.09845874143
"185",400,"B3",5,0.699999999999999,4,706.858347057703,1.4,7,1295.12157144239,0.699999999999999,3,588.263224384689
"186",401,"B3",5,0.100000000000001,2.3,2209.32503363702,0,3.7,2309.0706003885,0,1.4,99.745566751476
"187",402,"B3",5,1.8,5.3,1053.41528665683,1.2,5.8,1680.16302104799,0,0.5,626.747734391164
"188",403,"B3",5,0,1,728.849495632832,0,4,2672.70995004152,0,3,1943.86045440868
"189",404,"B3",5,0.9,4.5,808.371059676824,0,9.5,4022.22034429918,0,5,3213.84928462236
"190",405,"B3",5,0.300000000000001,0.5,1130.97335529233,0.600000000000001,1.5,1552.14312041421,0.300000000000001,1,421.169765121882
"191",406,"B3",5,0.0999999999999996,3.5,931.285872248524,1.4,7,1475.56679948296,1.3,3.5,544.280927234432
"192",407,"B3",5,1.7,2.2,1228.36272755361,0,5,1770.28746029785,0,2.8,541.924732744239
"193",408,"B3",5,0,1.5,1385.4423602331,0.699999999999999,3.5,908.116626428299,1.4,2,0
"194",409,"B3",5,2.1,3.8,1064.80356002609,0,9.3,509.527058504095,0,5.5,0
"195",410,"B3",5,0.0999999999999996,5.8,1178.68629371872,0,8.8,2023.18566891183,0,3,844.499375193106
"196",411,"B3",5,0.399999999999999,5.2,989.601685880785,4.2,8.5,3462.2314537968,3.8,3.3,2472.62976791602
"197",411,"B3",5,0.399999999999999,5.2,989.601685880785,2,8.7,1417.64368493239,3.8,3.3,2472.62976791602
"198",411,"B3",5,0.399999999999999,5.2,989.601685880785,4.2,8.5,3462.2314537968,1.6,3.5,428.041999051609
"199",411,"B3",5,0.399999999999999,5.2,989.601685880785,2,8.7,1417.64368493239,1.6,3.5,428.041999051609
"200",412,"B3",5,0.0999999999999996,5,1189.87821754713,0,5,1566.86933597791,0,0,376.991118430775
"201",413,"B3",5,0,3.3,1415.2874904422,0,5.3,1132.54415161912,0,2,0
"202",414,"B3",5,0,4.7,600.829594999048,3.9,7.7,1836.45725556408,3.9,3,1235.62766056504
"203",415,"B3",5,3.2,2.5,900.655343876024,1.9,3.2,466.330159517235,0,0.7,0
"204",416,"B3",5,0.9,4.5,981.796791632023,0.300000000000001,8.5,2056.95778993792,0,4,1075.16099830589
"205",417,"B3",5,0.6,2.5,888.481672343363,0,7.5,929.126027299181,0,5,40.644354955818
"206",418,"B3",5,0.5,2.2,878.664195300895,0,1.7,1758.31013830604,0,0,879.645943005142
"207",419,"B3",5,0.199999999999999,4,763.40701482232,0,6,1313.18572920053,0,2,549.778714378214
"208",420,"B3",5,2.3,1.7,480.07462737669,1.3,2.6,927.751580513236,0,0.899999999999999,447.676953136546
"209",421,"B3",6,1.9,1.2,379.592749847029,0.9,1,626.747734391164,0,0,247.154984544134
"210",422,"B3",6,0,0,814.261545902304,0,0,714.712328691678,0.9,0,0
"211",423,"B3",6,1.2,3.8,1592.19842674748,2.5,6.5,1592.19842674748,1.3,2.7,0
"212",424,"B3",6,1.3,2,721.584562621406,0.9,5.5,1116.83618835117,0,3.5,395.251625729766
"213",425,"B3",6,0,2.6,874.737204483908,0,5.8,2041.05347712912,0.199999999999999,3.2,1166.31627264521
"214",426,"B3",6,0.6,1.3,350.483930416111,1.3,3.6,989.601685880785,0.700000000000001,2.3,639.117755464674
"215",428,"B3",6,1.7,3,362.853951489621,1.7,7.5,1088.56185446886,0,4.5,725.707902979242
"216",430,"B3",6,0,2.3,975.464518939631,2.8,2.8,1115.26539202438,3.1,0.5,139.800873084746
"217",431,"B3",6,3.4,0.5,882.591186117882,2.4,0.5,2001.1945203367,0,0,1118.60333421882
"218",432,"B3",6,0,1,805.082204867597,0.199999999999999,1.5,2018.66962947229,0.199999999999999,0.5,1213.58742460469
"219",433,"B3",6,1.7,4,1884.95559215388,2,3,1281.18075404209,0.299999999999999,0,0
"220",433,"B3",6,1.7,4,1884.95559215388,2,3,1281.18075404209,0.399999999999999,1,451.800293494382
"221",433,"B3",6,1.6,2,829.380460547705,2,3,1281.18075404209,0.299999999999999,0,0
"222",433,"B3",6,1.6,2,829.380460547705,2,3,1281.18075404209,0.399999999999999,1,451.800293494382
"223",434,"B3",6,0,0,350.483930416111,0,0,1167.29802034946,0,0,816.814089933346
"224",435,"B3",6,0,1,304.53813785736,0.800000000000001,4.7,1173.38485611579,0.800000000000001,3.7,868.846718258427
"225",436,"B3",6,0,2.1,1041.43796466502,0,5.8,1732.39199891392,0,3.7,690.954034248905
"226",437,"B3",6,0.6,2.7,1181.23883774976,2.1,3.7,2490.69392567416,1.5,1,1309.4550879244
"227",439,"B3",6,0.399999999999999,1.5,790.306901918682,0.199999999999999,5.5,790.306901918682,0,4,0
"228",440,"B3",6,1.2,2.1,1256.63706143592,1.7,6.8,2263.7138564523,0.5,4.7,1007.07679501638
"229",441,"B3",6,0,2,479.092879672443,2.4,7.3,1298.85221271853,2.5,5.3,819.759333046087
"230",442,"B3",6,0,1,1014.7344271095,2.6,1.3,1693.3184402849,2.7,0.3,678.584013175395
"231",443,"B3",6,0.699999999999999,2.5,501.869426410969,2.1,5.5,1054.78973344277,1.4,3,552.920307031804
"232",444,"B3",6,0,1.2,734.543632317464,1.8,6,829.380460547705,2.2,4.8,94.8368282302417
"233",445,"B3",1,1,2.3,199.687483043801,1.2,7.3,1844.90028582061,0.199999999999999,5,1645.2128027768
"234",447,"B3",1,0,1.8,383.863352360503,0,1.8,1452.98660228528,0.800000000000001,0,1069.12324992478
"235",448,"B3",1,0.5,2,1017.28697114054,0.699999999999999,5,1708.24100538945,0.199999999999999,3,690.954034248905
"236",449,"B3",1,1.6,0.5,858.243843052561,5.4,5.5,3145.32329486593,3.8,5,2287.07945181337
"237",450,"B3",1,0.799999999999999,1,1041.43796466502,0.100000000000001,6.5,1748.29631172272,1.2,6,570.199066626547
"238",450,"B3",1,0.799999999999999,1,1041.43796466502,2,7,1611.63703129156,1.2,6,570.199066626547
"239",450,"B3",1,0,0.5,1178.09724509617,0.100000000000001,6.5,1748.29631172272,1.2,6,570.199066626547
"240",450,"B3",1,0,0.5,1178.09724509617,2,7,1611.63703129156,1.2,6,570.199066626547
"241",451,"B3",1,0.9,1,1283.34059899143,2.6,7,1625.77419823272,1.7,6,342.433599241288
"242",452,"B3",1,1.4,3.5,1104.26981773681,0.200000000000001,3.5,1869.05127934508,0,0,764.781461608265
"243",455,"B3",1,0,3,622.624394033327,0,7.5,1858.25205459836,0.799999999999999,4.5,1235.62766056504
"244",457,"B3",1,0,0,809.941856003619,0,0,2941.51247146429,0,0,2131.57061546067
"245",459,"B3",1,0,2.5,706.858347057703,3.6,7,775.973385436679,3.6,4.5,69.1150383789754
"246",460,"B3",1,0,3.5,622.035345410779,0,7,939.336203423348,0,3.5,317.300858012569
"247",461,"B3",1,3.3,1,1006.29139685298,0.7,5.7,2072.86210274672,0,4.7,1066.57070589373
"248",462,"B3",1,0.699999999999999,1.7,871.202912748619,0.0999999999999996,6.2,1841.95504270787,0,4.5,970.752129959246
"249",463,"B3",1,0,0,433.539786195391,0.4,3.5,1645.2128027768,1.5,3.8,1211.67301658141
"250",464,"B3",1,2.9,4,1747.51091355932,2.2,6.5,2463.20498995525,0,2.5,715.694076395925
"251",465,"B3",4,1,0,1082.08231962083,3.7,5.5,1161.40753412398,2.7,5.7,79.3252145031422
"252",466,"B3",4,1.6,2.3,977.820713429823,0,7.5,1719.43292921786,0,4.8,117.220675887069
"253",466,"B3",4,1.6,2.3,977.820713429823,2.5,8,1531.52641862502,0,4.8,117.220675887069
"254",466,"B3",4,1.6,2.3,977.820713429823,0,7.1,1095.04138931689,0,4.8,117.220675887069
"255",466,"B3",1,4.3,3.2,1414.30574273795,0,7.5,1719.43292921786,0,4.8,117.220675887069
"256",466,"B3",1,4.3,3.2,1414.30574273795,2.5,8,1531.52641862502,0,4.8,117.220675887069
"257",466,"B3",1,4.3,3.2,1414.30574273795,0,7.1,1095.04138931689,0,4.8,117.220675887069
